2026-01-25T21:40:21.681+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\PortfolioSearchController.class]
2026-01-25T21:40:21.683+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\PostContentBlocksController.class]
2026-01-25T21:40:21.685+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\PostTagsController.class]
2026-01-25T21:40:21.687+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\SubscriptionController.class]
2026-01-25T21:40:21.689+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\controller\UserStudioController.class]
2026-01-25T21:40:21.750+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\filter\FirebaseAuthenticationFilter.class]
2026-01-25T21:40:21.753+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\mapper\BlogPostMapper.class]
2026-01-25T21:40:21.759+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\FeaturedPostsRepository.class]
2026-01-25T21:40:21.761+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\HeadlinesPostsRepository.class]
2026-01-25T21:40:21.763+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PaymentTransactionRepository.class]
2026-01-25T21:40:21.764+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PortfolioLikeRepository.class]
2026-01-25T21:40:21.766+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PortfolioRepository.class]
2026-01-25T21:40:21.767+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PortfolioResumeRepository.class]
2026-01-25T21:40:21.768+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PortfolioSearchRepository.class]
2026-01-25T21:40:21.769+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PortfolioSkillRepository.class]
2026-01-25T21:40:21.771+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PortfolioSocialRepository.class]
2026-01-25T21:40:21.772+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PostContentBlocksRepository.class]
2026-01-25T21:40:21.773+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PostRepository.class]
2026-01-25T21:40:21.773+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\PostTagsRepository.class]
2026-01-25T21:40:21.774+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\StudioRatingRepository.class]
2026-01-25T21:40:21.775+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\StudiosRepository.class]
2026-01-25T21:40:21.776+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\SubscriptionRepository.class]
2026-01-25T21:40:21.777+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Ignored because not a concrete top-level class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\repository\UserAccountRepository.class]
2026-01-25T21:40:21.789+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\AdminContentBlockService.class]
2026-01-25T21:40:21.792+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\AdminPostService.class]
2026-01-25T21:40:21.793+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\AuthService.class]
2026-01-25T21:40:21.795+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\BlogPostsService.class]
2026-01-25T21:40:21.798+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\FeaturedPostsService.class]
2026-01-25T21:40:21.799+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\FirebaseTokenService.class]
2026-01-25T21:40:21.800+05:30 DEBUG 15692 --- [gametout] [main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [D:\dev\GameTout\GameTout-Backend\gametout\build\classes\java\main\com\gametout\gametout\service\HeadlinesPostsService.class]
